,Product name,Price,Review out of 5
129,"realme 16 Pro+ 5G (Master Gold, 256 GB)","₹44,999",4.7
130,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹9,999",4.2
131,"realme C85 5G (Peacock Green, 128.0 GB)","₹16,999",4.6
132,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999",4.4
133,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)","₹44,999",4.6
134,"realme P2 Pro 5G (Parrot Green, 128 GB)","₹17,999",4.4
135,"realme C85 5G (Parrot Purple, 128.0 GB)","₹16,999",4.6
136,"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,07,987",4.7
137,"Samsung Galaxy F36 5G (Red, 128 GB)","₹16,999",4.3
138,"realme GT 7T (Racing Yellow, 256 GB)","₹34,999",4.4
139,"realme P3 5G (Space Silver, 256 GB)","₹18,499",4.4
140,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹10,999",4.2
141,"realme Narzo 80 Pro 5G (Speed Silver, 256 GB)","₹22,485",4.5
142,"Samsung Galaxy S25 Plus 5G (Silver Shadow, 256 GB)","₹75,999",4.7
143,"Samsung S25 Ultra (Titanium Silverblue, 256 GB)","₹1,08,990",4.6
144,"realme 14 Pro Lite 5G (Glass Gold, 128 GB)","₹21,999",4.3
145,"realme C63 5G Charger in the Box (Forest Green, 128 GB)","₹10,999",4.4
146,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹39,999",4.6
147,"Samsung Galaxy F07 (Green, 64 GB)","₹7,499",4.3
148,"realme P2 Pro 5G (Eagle Grey, 128 GB)","₹17,999",4.4
149,"realme C67 5G (Dark Purple, 128 GB)","₹14,950",4.4
150,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹12,499",4.4
151,"realme C30s (Stripe Black, 32 GB)","₹6,999",4.4
152,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)","₹39,999",4.5
153,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,249",4.2
154,"realme C73 5G (Onyx Black, 64 GB)","₹11,499",4.2
155,"realme 15 Pro 5G (Flowing Silver, 512 GB)","₹40,999",4.4
156,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹9,999",4.2
157,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999",4.4
158,"realme 15 Pro 5G (Silk Purple, 256 GB)","₹37,999",4.4
159,"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹37,999",4.4
160,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)","₹44,999",4.6
161,"realme 15 Pro 5G (Velvet Green, 128 GB)","₹33,999",4.3
162,"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,08,990",4.7
163,"Samsung Galaxy F36 5G (Red, 128 GB)","₹16,999",4.3
164,"realme 13 Pro+ 5G (Monet Gold, 256 GB)","₹25,999",4.4
165,"realme 13 Pro+ 5G (Monet Purple, 256 GB)","₹25,998",4.4
166,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹10,999",4.2
167,"Samsung Galaxy S25 Plus 5G (Silver Shadow, 256 GB)","₹75,999",4.7
